"","SpeciesSSet","Freq","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010"
"Balaena_mysticetus","Balaena_mysticetus",3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.160622716450561,-0.598757355777877,NA
"Clangula_hyemalis","Clangula_hyemalis",7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.349485002168009,0.349485002168009,-0.698970004336019,0.100343331887994,0.100343331887994,0.100343331887994,0.301029995663981,0,-0.1249387366083,NA,NA,NA
"Mallotus_villosus","Mallotus_villosus",26,1,0.407799114690951,0.511944398574342,0.432013112871602,0.279812026818566,0.132238666828731,-0.0352784233385193,-0.224507581425822,-0.344942145072234,-0.335927249799958,-0.274860126967759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Monodon_monoceros","Monodon_monoceros",2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0074050441936544,0.0074050441936544,0.00740504419365395,0.0074050441936544,0.0074050441936544,0.0074050441936544,0.0074050441936544,0.0074050441936544,0.0074050441936544,0.0074050441936544,0.0074050441936544,0.00740504419365395,0.0074050441936544,0.0074050441936544,0.0074050441936544,0.0074050441936544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Odobenus_rosmarus","Odobenus_rosmarus",28,1,NA,NA,NA,NA,NA,NA,NA,-0.0157277004541554,-0.0157277004541552,-0.0157277004541552,-0.0157277004541554,-0.0157277004541552,-0.0157277004541552,-0.0157277004541554,-0.0157277004541552,-0.0157277004541554,-0.0157277004541552,-0.0157277004541554,-0.0157277004541552,-0.0157277004541552,-0.0157277004541552,-0.0157277004541554,-0.0157277004541549,-0.0157277004541552,-0.0157277004541554,-0.0157277004541554,-0.0157277004541552,-0.0157277004541552,0.0659741239910945,-0.101507419393945,-0.286096015474486,0.0707502534009196,0.0707502534009196,-0.0456987941848748,-0.796512653896014,0.629534100355853,0.130190722746966,0.0480759656001544,0.119877419578443,NA
"Pagophila_eburnea","Pagophila_eburnea",12,1,NA,NA,NA,NA,-0.0534256036609153,-0.000462800117754014,0.0683687415605223,-0.0321399766351589,-0.0321399766351589,-0.0321399766351584,-0.0321399766351589,-0.0321399766351589,-0.0321399766351589,0.192889306979616,-0.0128228884798598,-0.0128228884798598,-0.0128228884798594,-0.0128228884798598,-0.0128228884798598,-0.0128228884798594,-0.0128228884798598,-0.0128228884798598,-0.0128228884798594,-0.0128228884798598,-0.0128228884798598,-0.0128228884798594,-0.0128228884798598,-0.0128228884798598,-0.0128228884798594,-0.0128228884798598,-0.0128228884798598,-0.0128228884798594,-0.445254147848854,-0.223237312863588,-0.0387279611983109,0.116996753723413,NA,NA,NA,NA
"Pusa_hispida","Pusa_hispida",8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0894920334642033,-0.165923003469034,-0.0911143288521064,-0.0911143288521064,0.134112613185355,0.0256995302148192,0.0256995302148192,0.0256995302148193,0.0256995302148193,0.0256995302148193,0.0256995302148192,0.0256995302148193,-0.3199048154279,0.109534945308458,0.109534945308458
"Reinhardtius_hippoglossoides","Reinhardtius_hippoglossoides",20,1,0.0913964855827869,0.100133615460107,0.0852743514652943,0.0505823293091332,0.0181621972924284,0.00277128288016781,-0.00393606088473852,-0.0204685159481275,-0.0497736396252737,-0.0722262415904242,-0.0665836429858055,-0.0345085075916214,0.000356212792643085,0.0175910131068528,0.0196732215859514,0.0238074849448129,0.0378308407008081,0.0512307690843614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Somateria_mollissima","Somateria_mollissima",36,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.448031682888486,0.131697043959928,-0.00335704785517137,-0.00335704785517139,-0.00335704785517135,-0.00335704785517142,-0.00335704785517136,-0.00335704785517138,-0.00335704785517139,-0.00335704785517138,-0.00335704785517144,-0.00335704785517133,-0.183548059669808,NA,NA,NA,NA,NA
"Stercorarius_longicaudus","Stercorarius_longicaudus",11,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0155179528248858,-0.00493383328686028,0.0138444628885785,0.0384038941702823,0.0705536341413908,0.111034273374198,0.151953909471966,0.180402594398088,0.191014720555445,0.191218728317702,NA,NA,NA
